주성분,복합제구분,복합제성분,약효분류,금기내용,비고,DUR성분영문명,DUR성분코드,병용금기DUR성분코드,병용금기DUR성분명,병용금기DUR성분영문명,병용금기주성분
[A000877]오메가3산/[I004369]아토르바스타틴칼슘수화물/[M093499]아토르바스타틴칼슘/[M213543]무수아토르바스타틴칼슘/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M244955]아토르바스타틴스트론튬/[M247057]아토르바스타틴칼슘염무수물/[M251687]아토르바스타틴칼슘/[M256664]아토르바스타틴칼슘수화물/[M261637]오메가3산에틸에스테르90/[M263837]아토르바스타틴,복합,[D001688]Omega-3-AcidEthylEsters90(오메가3산에틸에스테르90),-,근육병증|횡문근융해위험증가가능,-,Atorvastatin,D000455,D000334,사이클로스포린,Cyclosporine,[A005971]시클로스포린/[M040068]마이크로에멀젼용시클로스포린/[M085282]사이클로스포린/[M085565]시클로스포린
[I004369]아토르바스타틴칼슘수화물/[M093499]아토르바스타틴칼슘/[M201260]염산메트포민/[M213543]무수아토르바스타틴칼슘/[M214651]염산메트포르민/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M223014]메트포르민염산염/[M244179]메트포르민염산염/[M244955]아토르바스타틴스트론튬/[M247057]아토르바스타틴칼슘염무수물/[M251687]아토르바스타틴칼슘/[M255741]메트포르민아세트산염/[M256664]아토르바스타틴칼슘수화물/[M263837]아토르바스타틴/[M263864]메트포르민/[M266682]메트포르민염산염콜로이드성이산화규소,복합,[D000718]Metformin(메트포르민),-,횡문근융해와같은중증의근육이상보고,-,Atorvastatin,D000455,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[I004369]아토르바스타틴칼슘수화물/[I004994]이르베사르탄/[M092285]이베사탄/[M093499]아토르바스타틴칼슘/[M213543]무수아토르바스타틴칼슘/[M215219]아토르바스타틴칼슘삼수화물/[M218956]아토르바스타틴삼수화물/[M244955]아토르바스타틴스트론튬/[M247057]아토르바스타틴칼슘염무수물/[M251687]아토르바스타틴칼슘/[M251853]이르베사르탄/[M255988]이르베사탄/[M256664]아토르바스타틴칼슘수화물/[M263837]아토르바스타틴,복합,[D000046]Irbesartan(이르베사르탄),-,근육병증|횡문근융해위험증가가능,-,Atorvastatin,D000455,D000405,포사코나졸,Posaconazole,[M256381]포사코나졸(미분화)
[C040631]탄산수소나트륨/[C096332]탄산수소나트륨수용액/[I003757]탄산수소나트륨/[M040631]탄산수소나트륨/[M083697]오메프라졸장용성과립/[M083698]오메프라졸/[M089720]오메프라졸나트륨/[M091817]중탄산수소나트륨/[M096332]탄산수소나트륨수용액/[M104138]포화탄산수소나트륨/[M104658]5%탄산수소나트륨/[M201348]오메프라졸장용과립/[M206247]무균탄산수소나트륨/[M206711]탄산수소나트륨(중조)/[M207094]탄산수소나트륨/[M215774]5%탄산수소나트륨수용액/[M230823]탄산수소나트륨액/[M250011]탄산수소나트륨주사액/[M253779]탄산수소나트륨(제3법),복합,[D001148]sodiumbicarbonate(탄산수소나트륨),-,아타자나비르의혈중농도감소,-,Omeprazole,D000469,D000150,아타자나비르,Atazanavir,[M249264]아타자나비어황산염/[M263079]아타자나비르황산염
[M102602]유데나필,단일,-,-,혈압강하작용증가,-,Udenafil,D000569,D001723,이소소르비드이질산염,isosorbidedinitrate,[M115499]이소소르비드질산염·염화나트륨/[M116023]이소소르비드질산염지속과립/[M250379]묽은이소소르비드이질산염/[M250785]이소소르비드질산염제피과립/[M256313]이소소르비드이질산염
[A110504]도라비린/[M086332]라미부딘/[M265383]테노포비르디소프록실,복합,[D000615]Lamivudine(라미부딘)/[D001564]Tenofovirdisoproxil(테노포비르디소프록실),-,뉴클레오시드유사체단독투여또는다른항레트로바이러스제를병용투여했을때치명적인사례를포함한유산산증과지방증을동반한중증간비대가보고됨,-,Doravirine,D001563,D000028,아데포비어디피복실,Adefovirdipivoxil,[M101796]아데포비어디피복실
[M115229]S-판토프라졸나트륨삼수화물,단일,-,-,아타자나비르의혈중농도감소,-,S-Pantoprazole,D000751,D000150,아타자나비르,Atazanavir,[M249264]아타자나비어황산염/[M256270]코비시스타트이산화규소/[M263079]아타자나비르황산염
[M089710]심바스타틴/[M097492]에제티미브,복합,[D000350]Ezetimibe(에제티미브),-,근병증의위험증가가능,-,Simvastatin,D000027,D001362,글레카프레비르,Glecaprevir,[A001652]글레카프레비르/[A003331]피브렌타스비르/[M267076]피브렌타스비르/[M267082]글레카프레비르
[M083437]베실산암로디핀/[M090395]텔미사르탄/[M095744]로수바스타틴칼슘/[M100608]말레인산암로디핀/[M100610]캄실산암로디핀/[M101934]암로디핀/[M102166]메실산암로디핀일수화물/[M102534]암로디핀오로트산염/[M222875]암로디핀베실산염/[M246033]암로디핀캄실산염/[M250821]암로디핀아디핀산염/[M250983]암로디핀말레산염/[M251079]암로디핀니코틴산염/[M254832]암로디핀메실산염일수화물/[M257408]암로디핀아디프산염/[M258559]로수바스타틴칼슘염/[M264500]텔미사르탄파우더(23.9%)/[M270546]로수바스타틴칼슘(미분화),복합,[D000152]Amlodipine(암로디핀)/[D000485]Telmisartan(텔미사르탄),-,횡문근융해증을포함한근육관련이상반응보고,-,Rosuvastatin,D000219,D000619,푸시딘산,FusidicAcid,[M020165]푸시딘산나트륨/[M020229]푸시딘산
[I002674]올메사르탄메독소밀/[M095744]로수바스타틴칼슘/[M102509]올메사탄메독소밀/[M253843]올메사탄실렉세틸/[M256141]올메사탄실렉세틸/[M257074]올메사르탄메독소밀/[M258559]로수바스타틴칼슘염/[M270546]로수바스타틴칼슘(미분화),복합,[D000972]Olmesartan(올메사르탄),-,횡문근융해증을포함한근육병증위험증가가능,-,Rosuvastatin,D000219,D001072,레디파스비르,Ledipasvir,[I012701]소포스부비르/[I012702]레디파스비르/[M260784]소포스부비어/[M262752]소포스부비르/[M262910]레디파스비르
